,Source,Target
836, First Round Capital,Ring
836, Upfront Ventures,Ring
837,Sequoia Capital India,Mamaearth
837, Sofina,Mamaearth
837, Stellaris Venture Partners,Mamaearth
837, Fireside Ventures,Mamaearth
837, Evolvence India Fund,Mamaearth
838,Gavi,Merck
838, the Vaccine Alliance,Merck
838, Private Capital Advisors,Merck
839,Andreessen Horowitz,Hex Technologies
839, Snowflake,Hex Technologies
839, BoxGroup,Hex Technologies
839, Redpoint,Hex Technologies
839, XYZ Venture Capital,Hex Technologies
840,JP Morgan Chase,MercadoLibre
840, Goldman Sachs,MercadoLibre
840, PayPal,MercadoLibre
840, Tiger Global Management,MercadoLibre
840, Dragoneer Investment Group,MercadoLibre
841,Tencent,Practo
841, Sequoia Capital,Practo
841, Matrix Partners,Practo
841, Sequoia Capital India,Practo
841, Matrix Partners India,Practo
842,500 Startups,RiseUp
842, Corner Ventures,RiseUp
842, Aleph,RiseUp
842, Latitude Ventures,RiseUp
842, Ronald Cohen,RiseUp
843,Techstars,Novo
843, BoxGroup,Novo
843, RRE Ventures,Novo
843, Stripes,Novo
843, Hack VC,Novo
844,ICONIUM,Huobi
844, ZhenFund,Huobi
844, Node Capital,Huobi
844, Karnika Yashwant,Huobi
845,Andreessen Horowitz,Payrails
845, HV Capital,Payrails
845, Jochen Engert,Payrails
845, Dominik Richter,Payrails
845, Daniel Krauss,Payrails
846,Novo Holdings,ReViral
846, Perceptive Advisors,ReViral
846, OrbiMed,ReViral
846, Andera Partners,ReViral
846, New Leaf Venture Partners,ReViral
847,Tencent,QuintoAndar
847, SoftBank,QuintoAndar
847, Qualcomm Ventures,QuintoAndar
847, QED Investors,QuintoAndar
847, General Atlantic,QuintoAndar
848,Eurazeo,Onfido
848, Augmentum Fintech,Onfido
848, Fin Venture Capital,Onfido
848, Acequia Capital (AceCap),Onfido
848, Plug and Play Tech Center,Onfido
849,Venrock,Interos
849, Synetro Group,Interos
849, Kleiner Perkins,Interos
849, Accenture Ventures,Interos
849, Broadway Angels,Interos
850,Greylock,Pandora
850, Slow Ventures,Pandora
850, Crosslink Capital,Pandora
850, GGV Capital,Pandora
850, Kohlberg Kravis Roberts,Pandora
851,BlackRock,Rivian
851, T. Rowe Price,Rivian
851, Amazon,Rivian
851, Coatue,Rivian
851, Fidelity Management and Research Company,Rivian
852,Redpoint,Orca Security
852, Temasek Holdings,Orca Security
852, Stripes,Orca Security
852, GGV Capital,Orca Security
852, ICONIQ Growth,Orca Security
853,Sony Innovation Fund,Medfin India
853, Axilor Ventures,Medfin India
853, Blume Ventures,Medfin India
853, Kotak Investment Advisors,Medfin India
853, HealthXCapital,Medfin India
854,JP Morgan,Proxymity
854, HSBC,Proxymity
854, Deutsche Bank,Proxymity
854, BNY Mellon,Proxymity
854, State Street,Proxymity
855,Gaingels,Homebound
855, Goldman Sachs,Homebound
855, GV,Homebound
855, Fifth Wall,Homebound
855, Craft Ventures,Homebound
856,Inventure,Material Exchange
856, Molten Ventures,Material Exchange
856, Partech,Material Exchange
856, Norrsken VC,Material Exchange
856, Day One Capital,Material Exchange
857,GlaxoSmithKline,LifeMine Therapeutics
857, Merck,LifeMine Therapeutics
857, GV,LifeMine Therapeutics
857, Fidelity Management and Research Company,LifeMine Therapeutics
857, ARCH Venture Partners,LifeMine Therapeutics
859,Insight Partners,LawVu
859, Shasta Ventures,LawVu
859, AirTree Ventures,LawVu
859, New Zealand Growth Capital Partners,LawVu
860,Silver Lake,Groupon
860, Andreessen Horowitz,Groupon
860, Greylock,Groupon
860, Fidelity,Groupon
860, Accel,Groupon
861,Tencent,Lilium
861, BlackRock,Lilium
861, Baillie Gifford,Lilium
861, Lightrock,Lilium
861, Atomico,Lilium
862,GSR Ventures,Novelship
862, Global Founders Capital,Novelship
862, East Ventures,Novelship
862, K3 Ventures,Novelship
862, iGlobe Partners,Novelship
863,Humana,Omada Health
863, Andreessen Horowitz,Omada Health
863, Norwest Venture Partners,Omada Health
863, Kaiser Permanente,Omada Health
863, Founder Collective,Omada Health
864,MassChallenge,ProtonMail
864, CRV,ProtonMail
864, European Commission,ProtonMail
864, FONGIT,ProtonMail
864, MIT Venture Mentoring Service (MIT VMS),ProtonMail
865,Sequoia Capital,PayPal
865, Goldman Sachs,PayPal
865, Deutsche Bank,PayPal
865, Qualcomm Ventures,PayPal
865, Temasek Holdings,PayPal
866,Sequoia Capital,Remote
866, Gaingels,Remote
866, HackerOne,Remote
866, General Catalyst,Remote
866, Liquid 2 Ventures,Remote
867,Snow K.,Mercury
867, Andreessen Horowitz,Mercury
867, 500 Startups,Mercury
867, Edward Lando,Mercury
867, Coatue,Mercury
868,FMO,InCred
868, Asas Capital,InCred
868, Moore Strategic Ventures,InCred
868, Alpha Capital,InCred
868, Paragon Partners,InCred
868, India,InCred
869,Techstars,Nautilus Labs
869, SYSTEMIQ,Nautilus Labs
869, Quiet Capital,Nautilus Labs
869, Sam Altman,Nautilus Labs
869, TMV,Nautilus Labs
870,Bessemer Venture Partners,MediBuddy
870, Lightrock,MediBuddy
870, Alteria Capital,MediBuddy
870, InnoVen Capital,MediBuddy
870, Rebright Partners,MediBuddy
871,AloStar,Hercules Capital
873,SoftBank Vision Fund,Neuron23
873, Perceptive Advisors,Neuron23
873, Kleiner Perkins,Neuron23
873, Redmile Group,Neuron23
873, Surveyor Capital,Neuron23
874,Fenbushi Capital,LongHash Ventures
874, Hashkey,LongHash Ventures
875,Partners Group,Layr
875, Holmes Murphy & Associates,Layr
875, Sandbox Industries,Layr
875, Hudson Structured Capital Management,Layr
875, IMA Financial Group,Layr
876,JP Morgan Chase,PPRO
876, Eurazeo,PPRO
876, Northleaf Capital Partners,PPRO
876, Wellington Management,PPRO
876, Eldridge,PPRO
877,Liquid 2 Ventures,IUNU
877, Village Capital,IUNU
877, Initialized Capital,IUNU
877, S2G Ventures,IUNU
877, Astanor Ventures,IUNU
878,Andreessen Horowitz,Reforge
878, Insight Partners,Reforge
878, NextView Ventures,Reforge
878, TCV,Reforge
878, Bossa Nova Investimentos,Reforge
880,AMC Theatres,Hycroft Mining
880, Eric Sprott,Hycroft Mining
881,Founders Factory,Perlego
881, Raine Ventures,Perlego
881, ACE & Company,Perlego
881, Alexander Edward Chesterman,Perlego
881, Charlie Songhurst,Perlego
885,Flourish Ventures,Lendable
885, Fenway Summer Ventures,Lendable
885, FMO,Lendable
885, US Angel Investors,Lendable
885, Omidyar Network,Lendable
887,Digital Currency Group,Ripple
887, Blockchain Capital,Ripple
887, Andreessen Horowitz,Ripple
887, Accenture,Ripple
887, IDG Capital,Ripple
888,National Institutes of Health,Mayo Clinic
888, U.S. Department of Defense,Mayo Clinic
888, Jay Alix,Mayo Clinic
889,SoftBank Vision Fund,OurCrowd
889, United Overseas Bank,OurCrowd
889, UOB Venture,OurCrowd
889, ORIX Group,OurCrowd
889, Steven Blumgart,OurCrowd
890,Andreessen Horowitz,Polychain
890, Union Square Ventures,Polychain
890, Pantera Capital,Polychain
890, DCM Ventures,Polychain
890, DHVC,Polychain
892,Y Combinator,Mesh
892, Liquid 2 Ventures,Mesh
892, Surge,Mesh
892, Ankit Nagori,Mesh
892, Y Combinator Continuity Fund,Mesh
893,Zoom,Observe.AI
893, Y Combinator,Observe.AI
893, SoftBank Vision Fund,Observe.AI
893, Liquid 2 Ventures,Observe.AI
893, Menlo Ventures,Observe.AI
895,SoftBank,Grab
895, Invesco,Grab
895, Microsoft,Grab
895, HSBC,Grab
895, 500 Startups,Grab
896,Dyal Capital Partners,H.I.G. Capital
900,Temasek Holdings,LeapFrog Investments
902,KSV Global,Pattern
902, Knox Lane,Pattern
902, Banner Ventures,Pattern
902, Duchossois Capital Management,Pattern
902, Carlson Private Capital Partners,Pattern
903,Chiratae Ventures,Kristal.AI
903, Shailesh Rao,Kristal.AI
903, Desai Family Office.,Kristal.AI
903, sudhanshu sanadhya,Kristal.AI
903, Amit Gupta,Kristal.AI
907,Mastercard,Razorpay
907, Y Combinator,Razorpay
907, Tiger Global Management,Razorpay
907, Sequoia Capital India,Razorpay
907, GIC,Razorpay
908,Bain Capital,IIFL Wealth Management
908, General Atlantic,IIFL Wealth Management
908, Brand Capital,IIFL Wealth Management
911,International Finance Corporation,RBL Bank
911, Steadview Capital,RBL Bank
911, ICICI Lombard General Insurance,RBL Bank
911, CDC Group,RBL Bank
911, Ascent Capital,RBL Bank
914,Massachusetts Life Sciences Center,Massachusetts Institute of Technology
914, Massachusetts Clean Energy Center,Massachusetts Institute of Technology
914, U.S. Food and Drug Administration,Massachusetts Institute of Technology
914, Stephen Schwarzman,Massachusetts Institute of Technology
914, Ludwig Cancer Research,Massachusetts Institute of Technology
917,Digital Currency Group,Kraken
917, Blockchain Capital,Kraken
917, Tribe Capital,Kraken
917, Hummingbird Ventures,Kraken
917, BnkToTheFuture,Kraken
918,RRE Ventures,Palantir Technologies
918, Founders Fund,Palantir Technologies
918, Bracket Capital,Palantir Technologies
918, Ulu Ventures,Palantir Technologies
918, In-Q-Tel,Palantir Technologies
920,Northleaf Capital Partners,NewSpring
920, 17Capital LLP,NewSpring
920, Velocity Structured Solutions,NewSpring
921,Liberty Media,News Corp
922,Fortress Investment Group,Mogo
922, Difference Capital,Mogo
925,Great West Lifeco,Northleaf Capital Partners
925, Mackenzie Investments,Northleaf Capital Partners
927,PLDT,Rocket Internet
927, Global Founders Capital,Rocket Internet
927, United Internet Ventures,Rocket Internet
927, HV Capital,Rocket Internet
927, Access Industries,Rocket Internet
928,IDG Capital,Matrixport
928, Tiger Global Management,Matrixport
928, Polychain,Matrixport
928, Paradigm,Matrixport
928, Dragonfly Capital Partners,Matrixport
929,Dragonfly Capital Partners,ParaFi Capital
929, Augmentum Fintech,ParaFi Capital
929, 9Yards Capital,ParaFi Capital
929, Bain Capital Ventures,ParaFi Capital
929, Mark Ladd,ParaFi Capital
937,Tiger Global Management,Moglix
937, Accel,Moglix
937, Jungle Ventures,Moglix
937, Bessemer Venture Partners,Moglix
937, Sequoia Capital India,Moglix
938,Silicon Valley Bank,Molten Ventures
938, Ireland Strategic Investment Fund,Molten Ventures
943,Wavemaker Partners,PLDT
943, U.S. Trade and Development Agency,PLDT
944,Pattern,Route
944, 75 & Sunny,Route
944, Craft Ventures,Route
944, FJ Labs,Route
944, Goldcrest Capital,Route
945,Bessemer Venture Partners,Rev.com
945, Globespan Capital Partners,Rev.com
945, Craig Sherman,Rev.com
945, Austin Ligon,Rev.com
946,Brand Capital International,OneValley
946, SuRo Capital,OneValley
946, HMC Capital,OneValley
947,Broslyn Capital,Ripio
947, Digital Currency Group,Ripio
947, FundersClub,Ripio
947, Draper Associates,Ripio
947, Pantera Capital,Ripio
950,Endeavor,Latitud
950, Andreessen Horowitz,Latitud
950, Canary,Latitud
950, FJ Labs,Latitud
950, NFX,Latitud
951,Morgan Stanley,Sabre Corporation
951, Goldman Sachs,Sabre Corporation
951, Perella Weinberg Partners,Sabre Corporation
951, BofA Securities,Sabre Corporation
952,US Department of Commerce,MassVentures
952, Economic Development Administation,MassVentures
957,Google,JD.com
957, Hillhouse Capital Group,JD.com
957, Tiger Global Management,JD.com
957, Walmart,JD.com
957, Sequoia Capital China,JD.com
961,Allianz,October
961, Partech,October
961, Intesa Sanpaolo,October
961, European Investment Bank,October
961, Idinvest Partners,October
965,Credit Suisse,Lighter Capital
965, Silicon Valley Bank,Lighter Capital
965, i80 | Group,Lighter Capital
965, National Australia Bank (NAB),Lighter Capital
965, Voyager Capital,Lighter Capital
968,Activation Capital,Lighthouse Labs RVA
968, GO Virginia,Lighthouse Labs RVA
969,Flucas Ventures,Mercato
969, Correlation Ventures,Mercato
969, Greycroft,Mercato
969, Velvet Sea Ventures,Mercato
969, 10X Capital,Mercato
971,Meta,Reliance Jio
971, Citi,Reliance Jio
971, Axis Bank,Reliance Jio
971, ICICI Bank,Reliance Jio
971, Silver Lake,Reliance Jio
972,Tiger Global Management,Ignition
972, JMI Equity,Ignition
972, Real Ventures,Ignition
972, CIBC,Ignition
972, Right Click Capital,Ignition
975,Spark Capital,Grammarly
975, General Catalyst,Grammarly
975, BlackRock,Grammarly
975, Baillie Gifford,Grammarly
975, SignalFire,Grammarly
977,Francisco Partners,K2
977, TA Associates,K2
977, Thoma Bravo,K2
977, FTV Capital,K2
977, Azure Capital Partners,K2
981,Mason Ng,Liquid 2 Ventures
982,SAP,LinkedIn
982, Sequoia Capital,LinkedIn
982, Goldman Sachs,LinkedIn
982, Greylock,LinkedIn
982, Tiger Global Management,LinkedIn
987,Digital Currency Group,Protocol Labs
987, Sequoia Capital,Protocol Labs
987, Andreessen Horowitz,Protocol Labs
987, FundersClub,Protocol Labs
987, Union Square Ventures,Protocol Labs
990,M13,Northstar
990, RRE Ventures,Northstar
990, Scott Belsky,Northstar
990, Foundation Capital,Northstar
990, Weekend Fund,Northstar
998,OPIC - Overseas Private Investment Corporation,responsAbility
998, Calvert Impact Capital,responsAbility
998, Alecta,responsAbility
999,Agricultural Bank of China,HNA Group
999, Industrial and Commercial Bank of China,HNA Group
999, China Construction Bank,HNA Group
999, China CITIC Bank,HNA Group
999, Bank of Communications,HNA Group
1005,Fidelity Management and Research Company,Perella Weinberg Partners
1005, Wellington Management,Perella Weinberg Partners
1005, Korea Asset Investment Securities,Perella Weinberg Partners
1009,East West Bank,Lennar Corporation
1012,Renaissance Venture Capital,Next Coast Ventures
1013,FundersClub,Paragon
1013, Edward Lando,Paragon
1013, Y Combinator,Paragon
1013, Global Founders Capital,Paragon
1013, Soma Capital,Paragon
1014,Earlybird Venture Capital,Payhawk
1014, QED Investors,Payhawk
1014, Lightspeed Venture Partners,Payhawk
1014, Endeavor Catalyst,Payhawk
1014, Greenoaks Capital,Payhawk
1020,Queno,Oman Technology Fund
1028,BC Partners,IMA Group
1028, Mandarin Capital Partners,IMA Group
1029,Bossa Nova Investimentos,Hack VC
1031,P. Addo-Nyarko,LG Group
1036,BlackPine,Kenetic
1043,National Black Bank Foundation,Major League Soccer
1049,General Atlantic,NET1 UEPS Technologies Inc.
1049, Value Capital Partners,NET1 UEPS Technologies Inc.
1052,Quake Capital Partners,Node Capital
1057,500 Startups,Innovaccer
1057, B Capital Group,Innovaccer
1057, Tiger Global Management,Innovaccer
1057, Sequoia Capital India,Innovaccer
1057, Lightspeed Venture Partners,Innovaccer
1071,Sequoia Capital,Oracle
1072,BF Holding GmbH,Heliad Equity Partners
1074,US Department of Energy,Honeywell
1075,Covey Capital Advisors,Kohlberg Kravis Roberts
1076,500 Startups,Revolution
1076, K2 Global,Revolution
1077,ING Group,InnoEnergy
1082,Incubate Fund,PlaceHolder
1082, Global Brain Corporation,PlaceHolder
1082, KDDI,PlaceHolder
1082, Mizuho Capital,PlaceHolder
1082, OLM Ventures,PlaceHolder
1098,Tencent,Hike
1098, SoftBank,Hike
1098, Tiger Global Management,Hike
1098, Foxconn Technology Group,Hike
1098, Kunal Shah,Hike
1099,SoftBank Capital,NetEase
1110,Ion Pacific,Pitango Venture Capital
1117,Stagwell,Hannah Grey
1123,Fonds de solidarit̩ FTQ,Premier Tech
1124,Hammerstone,NextGen Venture Partners
1131,HV Capital,IONIQ
1131, TEV Ventures,IONIQ
1131, OPIC - Overseas Private Investment Corporation,IONIQ
1131, Holtzbrinck Digital,IONIQ
1131, Heiko Hubertz,IONIQ
1134,SuRo Capital,NewLake Capital Partners
1138,Raj Sareen,Intel Capital
1146,October,JCDecaux
1167,91springboard,NeoStencil
1167, Brand Capital,NeoStencil
1167, Paragon Trust,NeoStencil
1167, Praveen Sinha,NeoStencil
1167, Piyush Dhanuka,NeoStencil
1169,GoBeyond,Kae Capital
1172,Brand Capital,IIFL Finance
1181,Summit Partners,McAfee
1186,Caisse de Depot et Placement du Quebec,Real Ventures
1186, Acta Wireless,Real Ventures
1189,Sequoia Capital,Green Dot
1189, Tech Coast Angels,Green Dot
1189, TCV,Green Dot
1189, Kenneth Leiter,Green Dot
1196,GIC,Refinitiv
1196, Blackstone Group,Refinitiv
1196, Canada Pension Plan Investment Board,Refinitiv
1197,Capital Constellation,Pollen Street Capital
1199,dmg ventures,Hambro Perks Ltd.
1202,Rafael Duton,Norte Ventures
1208,Mayfield Fund,Prime Venture Partners
1211,Redpoint,Heavybit
1211, Accel,Heavybit
1211, DCVC,Heavybit
1211, IA Ventures,Heavybit
1211, SV Angel,Heavybit
1233,New York Life Insurance,Max Ventures and Industries
1240,SOSV,rocketship.vc
1246,Blackstone Group,Great Hill Partners
1249,Keiretsu Forum Northwest,Portland Seed Fund
1252,Techstars Los Angeles Accelerator,Lightbox
1263,Nitya Capital,Iron Pillar
1268,AXM Venture Capital,Plan B Media
1277,Accel,Renren
1277, Legend Capital,Renren
1277, General Atlantic,Renren
1277, TCV,Renren
1277, SoftBank Capital,Renren
1281,Dyal Capital Partners,ICONIQ Capital
1304,Ornstein-Schuler Investments,National Black Bank Foundation
1326,Ion Pacific,MSA Capital
1352,NGP Capital,Network18
1358,Lightspeed Venture Partners,Lianluo
1358, Sequoia Capital China,Lianluo
1358, Oriza Holdings,Lianluo
1358, Oriental Fortune Capital,Lianluo
1358, F&G Venture,Lianluo
1362,CX Partners,Karur Vysya Bank
1362, TVS Capital Funds,Karur Vysya Bank
1362, Chrys Capital,Karur Vysya Bank
1376,Stripe,Fast
1376, Global Founders Capital,Fast
1376, Index Ventures,Fast
1376, Addition,Fast
1376, G Squared,Fast
1377,Berkshire Hathaway,Apple
1377, Sequoia Capital,Apple
1377, Microsoft,Apple
1377, Matrix Partners,Apple
1377, Venrock,Apple
1378,JP Morgan,Convoy
1378, Greylock,Convoy
1378, Y Combinator,Convoy
1378, Hercules Capital,Convoy
1378, Fidelity,Convoy
1379,Broslyn Capital,CoinDCX
1379, Republic,CoinDCX
1379, Polychain,CoinDCX
1379, B Capital Group,CoinDCX
1379, Coinbase Ventures,CoinDCX
1380,Silver Lake,Genies
1380, Dapper Labs,Genies
1380, Gaingels,Genies
1380, Lerer Hippeau,Genies
1380, Polychain,Genies
1381,Snow K.,Coinbase
1381, Digital Currency Group,Coinbase
1381, Blockchain Capital,Coinbase
1381, Andreessen Horowitz,Coinbase
1381, Polychain,Coinbase
1382,Ubisoft,Animoca Brands
1382, Mirae Asset Global Investments,Animoca Brands
1382, 500 Startups,Animoca Brands
1382, IDG Capital,Animoca Brands
1382, Atari,Animoca Brands
1383,Zomato,blinkit
1383, SoftBank,blinkit
1383, Sequoia Capital,blinkit
1383, Tiger Global Management,blinkit
1383, SoftBank Vision Fund,blinkit
1384,Andreessen Horowitz,AngelList
1384, 500 Startups,AngelList
1384, GV,AngelList
1384, Tiger Global Management,AngelList
1384, Slow Ventures,AngelList
1385,Francisco Partners,Digital Currency Group
1385, Mastercard,Digital Currency Group
1385, RRE Ventures,Digital Currency Group
1385, SoftBank Vision Fund,Digital Currency Group
1385, OMERS Ventures,Digital Currency Group
1386,Lenovo,CertiK
1386, Sequoia Capital,CertiK
1386, Goldman Sachs,CertiK
1386, IDG Capital,CertiK
1386, Hillhouse Capital Group,CertiK
1387,Warburg Pincus,CrowdStrike
1387, Accel,CrowdStrike
1387, General Atlantic,CrowdStrike
1387, Institutional Venture Partners,CrowdStrike
1387, CapitalG,CrowdStrike
1388,Vista Equity Partners,Globalization Partners
1388, Sands Capital Ventures,Globalization Partners
1388, TDR Capital,Globalization Partners
1388, Wincove,Globalization Partners
1389,SoftBank,Bambee
1389, Gaingels,Bambee
1389, QED Investors,Bambee
1389, Alpha Edison,Bambee
1389, Greycroft,Bambee
1390,GV,Checkr
1390, Y Combinator,Checkr
1390, Accel,Checkr
1390, T. Rowe Price,Checkr
1390, Coatue,Checkr
1391,Y Combinator,Brex
1391, Tiger Global Management,Brex
1391, Base10 Partners,Brex
1391, Baillie Gifford,Brex
1391, Credit Suisse,Brex
1392,Mogo,Gemini
1392, ParaFi Capital,Gemini
1392, Marcy Venture Partners,Gemini
1392, Pantera Capital,Gemini
1392, Winklevoss Capital,Gemini
1393,Insight Partners,Choco
1393, Coatue,Choco
1393, Bessemer Venture Partners,Choco
1393, Atlantic Labs,Choco
1393, G Squared,Choco
1394,T. Rowe Price,Atlassian
1394, Accel,Atlassian
1394, Dragoneer Investment Group,Atlassian
1394, ESO Fund,Atlassian
1395,SoftBank,Eight Sleep
1395, Gaingels,Eight Sleep
1395, General Catalyst,Eight Sleep
1395, 8VC,Eight Sleep
1395, Y Combinator,Eight Sleep
1396,Community Investment Management,Camino Financial
1396, DILA Capital,Camino Financial
1396, Impact America Fund,Camino Financial
1396, Collaborative Fund,Camino Financial
1396, Comcast Ventures,Camino Financial
1397,Tiger Global Management,Amber Group
1397, Polychain,Amber Group
1397, Paradigm,Amber Group
1397, Temasek Holdings,Amber Group
1397, Coinbase Ventures,Amber Group
1398,General Catalyst,Chief
1398, BoxGroup,Chief
1398, Accel,Chief
1398, Primary Venture Partners,Chief
1398, Flybridge,Chief
1399,Broslyn Capital,Axie Infinity
1399, Animoca Brands,Axie Infinity
1399, ConsenSys,Axie Infinity
1399, 500 Startups,Axie Infinity
1399, Hashed,Axie Infinity
1400,Tencent,Flipkart
1400, Axis Bank,Flipkart
1400, Flipkart,Flipkart
1400, Microsoft,Flipkart
1400, Morgan Stanley,Flipkart
1401,Insight Partners,Builder.ai
1401, Jungle Ventures,Builder.ai
1401, IFC,Builder.ai
1401, Revo Capital,Builder.ai
1401, WndrCo,Builder.ai
1402,Warburg Pincus,Airtel
1402, Google,Airtel
1402, Fidelity,Airtel
1402, BlackRock,Airtel
1402, Goldman Sachs Asset Management,Airtel
1403,Arca,Galaxy Digital
1403, XN,Galaxy Digital
1403, Senator Investment Group,Galaxy Digital
1403, Mike Novogratz,Galaxy Digital
1403, Nz Funds,Galaxy Digital
1404,Sequoia Capital,Docker
1404, Goldman Sachs,Docker
1404, Greylock,Docker
1404, Insight Partners,Docker
1404, Y Combinator,Docker
1405,Spark Capital,Andela
1405, GV,Andela
1405, SoftBank Vision Fund,Andela
1405, Founder Collective,Andela
1405, International Finance Corporation,Andela
1406,Tiger Global Management,Classplus
1406, Sequoia Capital India,Classplus
1406, Lightspeed Venture Partners,Classplus
1406, Alpha Wave Global,Classplus
1406, Surge,Classplus
1407,Liquidity,eToro
1407, Digital Currency Group,eToro
1407, Spark Capital,eToro
1407, Ping An,eToro
1407, Anthemis Group,eToro
1408,Abu Dhabi Investment Authority,Citi
1408, ValueAct Capital,Citi
1409,Andreessen Horowitz,CoinSwitch Kuber
1409, Tiger Global Management,CoinSwitch Kuber
1409, Paradigm,CoinSwitch Kuber
1409, Coinbase Ventures,CoinSwitch Kuber
1409, Sequoia Capital India,CoinSwitch Kuber
1410,LoftyInc Capital Management,Flutterwave
1410, Lux Capital,Flutterwave
1410, B Capital Group,Flutterwave
1410, Mastercard,Flutterwave
1410, Insight Partners,Flutterwave
1411,Comcast,Blockdaemon
1411, Voyager,Blockdaemon
1411, Goldman Sachs,Blockdaemon
1411, Lerer Hippeau,Blockdaemon
1411, Tiger Global Management,Blockdaemon
1412,Alumni Ventures,Algorand
1412, Union Square Ventures,Algorand
1412, Lemniscap,Algorand
1412, AlphaCoin Fund,Algorand
1412, ICONIUM,Algorand
1413,Endeavor,2TM
1413, MercadoLibre,2TM
1413, Tribe Capital,2TM
1413, TC - TradersClub,2TM
1413, Sand Hill Angels,2TM
1414,Pershing Square Capital Management,Berkshire Hathaway
1415,Tencent,Epic Games
1415, BlackRock,Epic Games
1415, T. Rowe Price,Epic Games
1415, Baillie Gifford,Epic Games
1415, Bracket Capital,Epic Games
1416,GV,Digits
1416, Elad Gil,Digits
1416, Benchmark,Digits
1416, Justin Kan,Digits
1416, Adrian Aoun,Digits
1417,Crowdcube,Crowdcube
1417, Circle,Crowdcube
1417, Draper Associates,Crowdcube
1417, Molten Ventures,Crowdcube
1417, Balderton Capital,Crowdcube
1418,Draper Associates,Forge
1418, Temasek Holdings,Forge
1418, Deutsche Borse,Forge
1418, Streamlined Ventures,Forge
1418, Panorama Point Partners,Forge
1419,American Rescue Plan,Comcast
1419, Trian Fund Management,Comcast
1420,Insight Partners,Coda Payments
1420, MDI Ventures,Coda Payments
1420, GIC,Coda Payments
1420, Golden Gate,Coda Payments
1420, Google Launchpad Accelerator,Coda Payments
1421,Matrix Partners,Chalo
1421, Kalaari Capital,Chalo
1421, Lightrock,Chalo
1421, Trifecta Capital Advisors,Chalo
1421, Raine Ventures,Chalo
1422,Aavishkaar Venture Capital,Financepeer
1422, QED Investors,Financepeer
1422, DMI Finance Private Limited,Financepeer
1422, 9Unicorns Accelerator Fund,Financepeer
1422, LC Nueva AIF,Financepeer
1423,Sequoia Capital,Google
1423, Yahoo,Google
1423, Kleiner Perkins,Google
1423, Ram Shriram,Google
1423, Shaquille O'Neal,Google
1424,Gaingels,Fuzzy
1424, Matrix Partners,Fuzzy
1424, Sand Hill Angels,Fuzzy
1424, Precursor Ventures,Fuzzy
1424, Eniac Ventures,Fuzzy
1425,Broslyn Capital,DFINITY
1425, Andreessen Horowitz,DFINITY
1425, Polychain,DFINITY
1425, IOSG Ventures,DFINITY
1425, CoinFund,DFINITY
1426,StepStone Group,Filevine
1426, Golub Capital,Filevine
1426, Album VC,Filevine
1426, Signal Peak Ventures,Filevine
1426, Meritech Capital Partners,Filevine
1427,8VC,Airbyte
1427, Y Combinator,Airbyte
1427, Accel,Airbyte
1427, Coatue,Airbyte
1427, Benchmark,Airbyte
1428,Clearco,Cart.com
1428, JP Morgan,Cart.com
1428, Gaingels,Cart.com
1428, Visa,Cart.com
1428, Oak HC/FT,Cart.com
1429,OfBusiness,FarMart
1429, LetsVenture,FarMart
1429, 500 Startups,FarMart
1429, General Catalyst,FarMart
1429, Matrix Partners India,FarMart
1430,Kleiner Perkins,Amazon
1430, AOL,Amazon
1431,General Catalyst,Datto
1431, TCV,Datto
1432,Swicorp,Endeavor
1433,EQT,Dojo
1433, CVC Credit Partners,Dojo
1434,Greylock,AiFi
1434, Qualcomm Ventures,AiFi
1434, Khaira Capital,AiFi
1434, Zabka Polska,AiFi
1434, StartX (Stanford-StartX Fund),AiFi
1435,Bain Capital,Axis Bank
1435, Court Square Capital Partners,Axis Bank
1435, Chrys Capital,Axis Bank
1435, Life Insurance Corporation of India,Axis Bank
1435, Karur Vysya Bank,Axis Bank
1436,Broslyn Capital,Circle
1436, Alumni Ventures,Circle
1436, Digital Currency Group,Circle
1436, Blockchain Capital,Circle
1436, CICC,Circle
1437,Accel,BookMyShow
1437, Stripes,BookMyShow
1437, Elevation Capital,BookMyShow
1437, SAIF Partners,BookMyShow
1437, TPG Growth,BookMyShow
1438,Rakuten,Careem
1438, Daimler,Careem
1438, Coatue,Careem
1438, Didi,Careem
1438, Wamda Capital,Careem
1439,RRE Ventures,Datadog
1439, Index Ventures,Datadog
1439, Amplify Partners,Datadog
1439, Contour Venture Partners,Datadog
1439, Institutional Venture Partners,Datadog
1440,500 Startups,GitLab
1440, Goldman Sachs,GitLab
1440, GV,GitLab
1440, Y Combinator,GitLab
1440, Liquid 2 Ventures,GitLab
1441,Venrock,Bristol Myers Squibb
1441, RA Capital Management,Bristol Myers Squibb
1441, Vivo Capital,Bristol Myers Squibb
1441, Connecticut Innovations,Bristol Myers Squibb
1441, Rock Springs Capital,Bristol Myers Squibb
1442,Y Combinator,Ginkgo Bioworks
1442, Baillie Gifford,Ginkgo Bioworks
1442, MassVentures,Ginkgo Bioworks
1442, T. Rowe Price,Ginkgo Bioworks
1442, DCVC,Ginkgo Bioworks
1443,European Investment Bank,Ericsson
1443, Cevian Capital,Ericsson
1443, Nordic Investment Bank,Ericsson
1443, Svensk Exportkredit,Ericsson
1444,Tencent,Airwallex
1444, Sequoia Capital,Airwallex
1444, Hillhouse Capital Group,Airwallex
