Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Knock,"New York, New York, United States",Active,For Profit,,,,,4.0,17.0,"Financial Services, Real Estate","FinTech, Lending, Real Estate",8.0,,2022-03-15,150000000.0,USD,150000000.0,Debt Financing,Venture - Series Unknown,70000000.0,USD,70000000.0,654500000.0,USD,654500000.0,1.0,161.603,"256,340.17",237.0,,,,"Redpoint, RRE Ventures, Foundry Group, FJ Labs, Corazon Capital"
Mojo Vision,"Saratoga, California, United States",Active,For Profit,,,,,1.0,33.0,"Consumer Electronics, Data and Analytics, Hardware, Health Care, Internet Services, Mobile, Software","Big Data, Computer Vision, Health Diagnostics, Internet of Things, Medical, Mobile, Software, Wearables",8.0,Early Stage Venture,2022-04-15,,,,Series B,Series B,,,,204000000.0,USD,204000000.0,,6.765,,0.0,,,,"8VC, PTC, Khosla Ventures, Gradient Ventures, New Enterprise Associates"
PlayVS,"Los Angeles, California, United States",Active,For Profit,,,,,4.0,28.0,"Consumer Electronics, Gaming, Hardware, Sports","Computer, eSports, Gaming, PC Games",5.0,Late Stage Venture,2020-10-30,10500000.0,USD,10500000.0,Series C,Series C,10500000.0,USD,10500000.0,106211719.0,USD,106211719.0,,327.641,"373,468.17",912.0,,,,"SoftBank, Coatue, Science, Kevin Lin, New Enterprise Associates"
Hugging Face,"New York, New York, United States",Active,For Profit,,,,,4.0,22.0,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Artificial Intelligence, Machine Learning, Natural Language Processing, Open Source, Software",6.0,Early Stage Venture,2021-03-11,40000000.0,USD,40000000.0,Series B,Series B,40000000.0,USD,40000000.0,61267325.0,USD,61267325.0,,"1,558,552","1,339,712.33",484.0,,,,"Lux Capital, Betaworks, Addition, Clement Benoit, SV Angel"
Nium,"Singapore, Central Region, Singapore",Active,For Profit,,,,,8.0,23.0,"Financial Services, Payments","Finance, Financial Services, FinTech, Payments",9.0,,2022-03-21,5000000.0,USD,5000000.0,Venture - Series Unknown,Venture - Series Unknown,5000000.0,USD,5000000.0,285000000.0,USD,285000000.0,7.0,63.586,26.771,3.0,,,,"Ripple, MDI Ventures, GSR Ventures, Vertex Ventures, Rocket Internet"
SaltPay,"London, England, United Kingdom",Active,For Profit,3.0,2.0,,,,4.0,"Financial Services, Information Technology","Financial Services, FinTech, Information Technology",4.0,Late Stage Venture,2021-11-15,370000000.0,USD,370000000.0,Series C,Series C,370000000.0,USD,370000000.0,1090000000.0,USD,1090000000.0,,24.615,"16,975.83",157.0,,,,"Tiger Global Management, Vetamer, Untitled Investments, Base Partners"
Kaiyo,"New York, New York, United States",Active,For Profit,,,,,3.0,7.0,"Commerce and Shopping, Consumer Goods, Internet Services","E-Commerce, Furniture, Marketplace, Online Portals",5.0,Early Stage Venture,2022-03-29,36000000.0,USD,36000000.0,Series B,Series B,36000000.0,USD,36000000.0,43050000.0,USD,43050000.0,2.0,487.096,"558,217.17",440.0,,,,"Lerer Hippeau, Edison Partners, Correlation Ventures, Moderne Ventures, Max Ventures"
Roku,"Los Gatos, California, United States",Active,For Profit,,,,,5.0,14.0,"Advertising, Consumer Electronics, Hardware, Media and Entertainment","Advertising Platforms, Consumer Electronics, Digital Entertainment, Hardware",11.0,IPO,2015-11-09,45500000.0,USD,45500000.0,Series H,Series H,45500000.0,USD,45500000.0,208609000.0,USD,208609000.0,1.0,"32,412,713","33,694,903.33",453.0,201473304.0,USD,201473304.0,"Netflix, Fidelity, News Corp, Menlo Ventures, Good Technology"
Khazna,"Cairo, Al Qahirah, Egypt",Active,For Profit,,,,,4.0,12.0,"Apps, Financial Services, Mobile, Payments, Software","Apps, Financial Services, FinTech, Mobile Payments",7.0,Early Stage Venture,2022-03-31,38000000.0,USD,38000000.0,Series A,Series A,38000000.0,USD,38000000.0,47095000.0,USD,47095000.0,,2.02,,3.0,,,,"Village Capital, Lendable, Quona Capital, Khwarizmi Ventures, Speedinvest"
Postman,"San Francisco, California, United States",Active,For Profit,,,,,3.0,9.0,Software,"Developer APIs, Developer Tools, SaaS, Software",6.0,Late Stage Venture,2022-02-28,,,,Secondary Market,Series D,225000000.0,USD,225000000.0,433000000.0,USD,433000000.0,6.0,"3,963,996","3,647,609.83",390.0,,,,"Insight Partners, Coatue, Nexus Venture Partners, Bond, Battery Ventures"
Jeeves,"New York, New York, United States",Active,For Profit,,,,,4.0,50.0,"Financial Services, Lending and Investments, Payments","Banking, Credit Cards, Financial Services, FinTech, Payments",7.0,Late Stage Venture,2022-03-22,180000000.0,USD,180000000.0,Series C,Series C,180000000.0,USD,180000000.0,368000000.0,USD,368000000.0,,46.335,"28,290.67",315.0,,,,"Tencent, Alumni Ventures, Andreessen Horowitz, Gaingels, BlockFi"
Robinhood,"Menlo Park, California, United States",Active,For Profit,,,,,9.0,74.0,"Financial Services, Lending and Investments, Payments, Software","Cryptocurrency, FinTech, Stock Exchanges, Trading Platform",28.0,IPO,2021-02-01,2400000000.0,USD,2400000000.0,Private Equity,Private Equity,2400000000.0,USD,2400000000.0,5574623000.0,USD,5574623000.0,7.0,"34,784,066","46,451,618.17",1.039,67315201.0,USD,67315201.0,"Sequoia Capital, Andreessen Horowitz, GV, LAUNCH, Slow Ventures"
Pipe,"Miami, Florida, United States",Active,For Profit,,,,,5.0,58.0,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Trading Platform",6.0,,2022-01-01,,,,Venture - Series Unknown,Venture - Series Unknown,,,,566000000.0,USD,566000000.0,,148.161,"74,260.17",317.0,,,,"Okta, Republic, Shopify, HubSpot, Tribe Capital"
Lilt,"San Francisco, California, United States",Active,For Profit,,,,,5.0,10.0,"Artificial Intelligence, Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence, Enterprise Software, Machine Learning, Natural Language Processing, Translation Service",5.0,Late Stage Venture,2022-04-07,55000000.0,USD,55000000.0,Series C,Series C,55000000.0,USD,55000000.0,92500000.0,USD,92500000.0,,640.843,602.566,1.319,462947.0,USD,462947.0,"Sequoia Capital, Redpoint, In-Q-Tel, Intel Capital, Sorenson Capital"
Pixxel,"Palo Alto, California, United States",Active,For Profit,,,,,5.0,21.0,"Data and Analytics, Government and Military, Information Technology, Navigation and Mapping, Science and Engineering","Aerospace, Big Data, Geospatial, Information Technology, National Security",5.0,Early Stage Venture,2022-03-28,25000000.0,USD,25000000.0,Series A,Series A,25000000.0,USD,25000000.0,32980000.0,USD,32980000.0,,,,,,,,"Techstars, Lightspeed Venture Partners, Radical Ventures, Creative Destruction Lab (CDL), Seraphim Capital"
PolySign,"Oakland, California, United States",Active,For Profit,,,,,1.0,9.0,"Financial Services, Payments, Privacy and Security, Software","Asset Management, Cryptocurrency, FinTech, Payments, Security",6.0,Late Stage Venture,2022-04-13,,,,Series C,Series C,,,,80181196.0,USD,80181196.0,,5.956,"8,744.33",600.0,103497.0,USD,103497.0,"Cowen Digital, GSR Ventures, Cowen Group, Brevan Howard Asset Management, Soros Fund Management"
Moneybox,"London, England, United Kingdom",Active,For Profit,,,,,5.0,12.0,"Financial Services, Lending and Investments","Banking, Finance, Financial Services, FinTech",11.0,Late Stage Venture,2022-04-04,35000000.0,GBP,45894777.0,Series D,Series D,35000000.0,GBP,45894777.0,122558836.0,USD,122558836.0,,466.993,"220,314.5",1.262,28986179.0,USD,28986179.0,"Eight Roads Ventures, Breega, Hambro Perks Ltd., Samos Investments, Fidelity International Strategic Ventures"
Nokia,"Espoo, Southern Finland, Finland",Active,For Profit,41.0,10.0,3.0,15.0,2.0,2.0,"Consumer Electronics, Hardware, Internet Services, Mobile, Software","Electronics, Enterprise Software, Internet of Things, Mobile Devices, Telecommunications",2.0,IPO,2018-12-03,250000000.0,EUR,283861884.0,Post-IPO Debt,,,,,750000000.0,EUR,868070947.0,83.0,"7,016,347","7,829,606.5",539.0,4427528.0,USD,4427528.0,"European Investment Bank, Nordic Investment Bank"
Riot Games,"Los Angeles, California, United States",Active,For Profit,20.0,5.0,2.0,3.0,3.0,4.0,"Consumer Electronics, Gaming, Hardware, Software","Computer, Developer Platform, PC Games, Video Games",5.0,M&A,2018-12-31,6000000.0,USD,6000000.0,Venture - Series Unknown,Venture - Series Unknown,6000000.0,USD,6000000.0,21000000.0,USD,21000000.0,1.0,"66,053,297","76,804,878.67",360.0,,,,"Tencent, HAX, FirstMark, Benchmark"
ITILITE,"Bangalore, Karnataka, India",Active,For Profit,,,,,3.0,7.0,"Information Technology, Internet Services, Travel and Tourism","Business Travel, Information Technology, Internet, Travel",4.0,Late Stage Venture,2022-04-13,2210000000.0,INR,29032361.0,Series C,Series C,2210000000.0,INR,29032361.0,46304087.0,USD,46304087.0,,408.752,"218,609.83",1.436,,,,"Dharana Capital, Tiger Global Management, Matrix Partners, Matrix Partners India, Ashish Gupta"
Motorola Solutions,"Chicago, Illinois, United States",Active,For Profit,50.0,12.0,2.0,26.0,1.0,1.0,"Consumer Electronics, Government and Military, Hardware, Information Technology, Mobile","Communications Infrastructure, Electronics, Information Technology, Mobile, Public Safety, Telecommunications, Wireless",1.0,M&A,2019-09-06,1000000000.0,USD,1000000000.0,Post-IPO Equity,Post-IPO Equity,1000000000.0,USD,1000000000.0,1000000000.0,USD,1000000000.0,13.0,968.79,"846,138.17",710.0,560192721.0,USD,560192721.0,Silver Lake
Policygenius,"New York, New York, United States",Active,For Profit,,,,,6.0,27.0,Financial Services,"Finance, Financial Services, FinTech, Insurance, InsurTech",8.0,Late Stage Venture,2022-03-17,125000000.0,USD,125000000.0,Series E,Series E,125000000.0,USD,125000000.0,286049982.0,USD,286049982.0,1.0,"1,905,840","1,516,655",275.0,2502454.0,USD,2502454.0,"Norwest Venture Partners, Global Atlantic, AXA Venture Partners, MassMutual, Kohlberg Kravis Roberts"
LetsGetChecked,"New York, New York, United States",Active,For Profit,,,,,6.0,14.0,"Biotechnology, Health Care, Mobile, Science and Engineering","Biotechnology, Health Care, Health Diagnostics, Medical, mHealth",4.0,Late Stage Venture,2021-06-08,150000000.0,USD,150000000.0,Series D,Series D,150000000.0,USD,150000000.0,263000000.0,USD,263000000.0,1.0,846.858,750.047,590.0,,,,"Qiming Venture Partners, Casdin Capital, Optum Ventures, Synetro Group, Deerfield"
Roche,"Basel, Basel-Stadt, Switzerland",Active,For Profit,8.0,4.0,,3.0,3.0,3.0,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care, Health Diagnostics, Pharmaceutical",4.0,IPO,2021-08-04,5000000000.0,USD,5000000000.0,Post-IPO Equity,Post-IPO Equity,5000000000.0,USD,5000000000.0,7790500000.0,USD,7790500000.0,26.0,"1,390,109","1,257,997.83",366.0,,,,"SoftBank, Novartis, SCALE AI"
OfBusiness,"Gurgaon, Haryana, India",Active,For Profit,2.0,,,,9.0,17.0,"Financial Services, Other","Financial Services, FinTech, Infrastructure, Lending, Small and Medium Businesses",11.0,Late Stage Venture,2021-12-20,185000000.0,USD,185000000.0,Series G,Series G,185000000.0,USD,185000000.0,878125171.0,USD,878125171.0,,21.568,"11,793.83",296.0,,,,"SoftBank, Norwest Venture Partners, Tiger Global Management, SoftBank Vision Fund, Alpha Wave Global"
Licious,"Bengaluru, Karnataka, India",Active,For Profit,,,,,11.0,32.0,"Commerce and Shopping, Food and Beverage, Transportation","Delivery Service, E-Commerce, Food and Beverage, Food Delivery",10.0,Late Stage Venture,2022-03-15,11460000000.0,INR,150209487.0,Series F,Series F,11460000000.0,INR,150209487.0,488709487.0,USD,488709487.0,,"1,137,872","1,141,032.33",558.0,,,,"Temasek Holdings, Vertex Ventures, 3one4 Capital, Mayfield Fund, IIFL Finance"
PropertyGuru Group,"Singapore, Central Region, Singapore",Active,For Profit,,,,,6.0,13.0,"Apps, Commerce and Shopping, Internet Services, Mobile, Real Estate, Software","E-Commerce, Mobile Apps, Online Portals, Real Estate, Rental Property",7.0,IPO,2022-03-18,132000000.0,USD,132000000.0,Post-IPO Equity,Post-IPO Equity,132000000.0,USD,132000000.0,676443674.0,USD,676443674.0,,22.9,"13,252.83",114.0,,,,"REA Group, Baillie Gifford, TPG, Emtek Group, Kohlberg Kravis Roberts"
Kpler,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Active,For Profit,,,,,2.0,2.0,"Artificial Intelligence, Data and Analytics, Energy, Financial Services, Information Technology, Natural Resources, Software","Analytics, Big Data, Finance, Image Recognition, Information Technology, Oil and Gas, Predictive Analytics, Software",1.0,Private Equity,2022-04-13,185000000.0,EUR,201557769.0,Private Equity,Private Equity,185000000.0,EUR,201557769.0,185000000.0,EUR,201557769.0,,23.553,"16,035.67",368.0,,,,"Five Arrows Growth Capita, Insight Partners"
Roblox,"San Mateo, California, United States",Active,For Profit,,,,,9.0,14.0,"Gaming, Hardware, Software","3D Technology, Gaming, Online Games, Software, Video Games",10.0,IPO,2021-01-06,520000000.0,USD,520000000.0,Series H,Series H,520000000.0,USD,520000000.0,856742214.0,USD,856742214.0,3.0,,,,,,,"Tencent, Andreessen Horowitz, Warner Music Group, Greylock, Tiger Global Management"
Oxyzo,"Gurgaon, Haryana, India",Active,For Profit,,,,,5.0,5.0,"Financial Services, Lending and Investments","Credit, Financial Services, FinTech, Lending",1.0,Early Stage Venture,2022-03-23,200000000.0,USD,200000000.0,Series A,Series A,200000000.0,USD,200000000.0,200000000.0,USD,200000000.0,,25.619,,199.0,,,,"Norwest Venture Partners, Tiger Global Management, Matrix Partners, Alpha Wave Global, Creation Investments Capital Management, LLC"
Island,"Dallas, Texas, United States",Active,For Profit,,,,,1.0,4.0,"Information Technology, Internet Services, Privacy and Security, Software","Cyber Security, Enterprise Software, Information Technology, Web Browsers",2.0,Early Stage Venture,2022-03-23,115000000.0,USD,115000000.0,Series B,Series B,115000000.0,USD,115000000.0,215000000.0,USD,215000000.0,,46.247,"11,180.67",588.0,,,,"Sequoia Capital, Insight Partners, Stripes, Cyberstarts"
Nord Security,"Vilnius, Vilniaus Apskritis, Lithuania",Active,For Profit,,,,,1.0,6.0,"Information Technology, Privacy and Security","Cyber Security, Network Security, Privacy",1.0,,2022-04-06,100000000.0,USD,100000000.0,Venture - Series Unknown,Venture - Series Unknown,100000000.0,USD,100000000.0,100000000.0,USD,100000000.0,,25.682,"12,345.5",2.0,,,,"General Catalyst, Ilkka Paananen, Novator, Matt Mullenweg, Miki Kuusi"
HackerRank,"Mountain View, California, United States",Active,For Profit,,,,,5.0,15.0,"Education, Internet Services, Professional Services","Employment, Internet, Internet of Things, Recruiting, Skill Assessment",5.0,Late Stage Venture,2022-03-29,60000000.0,USD,60000000.0,Series D,Series D,60000000.0,USD,60000000.0,102900000.0,USD,102900000.0,11.0,"7,813,024","7,315,150",804.0,139865.0,USD,139865.0,"Y Combinator, Khosla Ventures, SV Angel, Battery Ventures, Susquehanna Growth Equity"
Moonfare,"Berlin, Berlin, Germany",Active,For Profit,,,,,3.0,3.0,Financial Services,"Asset Management, Finance, Financial Services, FinTech",6.0,Private Equity,2022-03-29,35000000.0,USD,35000000.0,Private Equity,Private Equity,35000000.0,USD,35000000.0,201354723.0,USD,201354723.0,1.0,107.984,"55,735.33",370.0,,,,"Insight Partners, Vitruvian Partners, Fidelity International Strategic Ventures"
Hadrian,"Hawthorne, California, United States",Active,For Profit,,,,,3.0,15.0,"Manufacturing, Science and Engineering, Transportation","Aerospace, Machinery Manufacturing, Manufacturing, Supply Chain Management",3.0,Early Stage Venture,2022-03-31,90000000.0,USD,90000000.0,Series A,Series A,90000000.0,USD,90000000.0,99500000.0,USD,99500000.0,,3.97,"1,729.83",0.0,,,,"Andreessen Horowitz, Lux Capital, mymobiles price, Atlas Benjelloun, Caffeinated Capital"
Roofstock,"Oakland, California, United States",Active,For Profit,,,,,7.0,39.0,"Commerce and Shopping, Financial Services, Real Estate","FinTech, Marketplace, Real Estate, Rental Property",10.0,Late Stage Venture,2022-03-10,240000000.0,USD,240000000.0,Series E,Series E,240000000.0,USD,240000000.0,365250000.0,USD,365250000.0,,"1,159,639","824,383.17",594.0,51417.0,USD,51417.0,"DoorDash, SoftBank Vision Fund, QED Investors, Bain Capital, Lightspeed Venture Partners"
Rattle,"San Francisco, California, United States",Active,For Profit,,,,,2.0,7.0,"Information Technology, Other, Sales and Marketing, Software","B2B, Information Technology, SaaS, Sales",2.0,Early Stage Venture,2022-04-05,26000000.0,USD,26000000.0,Series A,Series A,26000000.0,USD,26000000.0,28800000.0,USD,28800000.0,,10.415,,35.0,,,,"Insight Partners, GV, Sequoia Capital India, iSeed, Lightspeed India Partners"
OpenPhone,"San Francisco, California, United States",Active,For Profit,,,,,3.0,18.0,"Apps, Hardware, Information Technology, Mobile, Software","Contact Management, Mobile Apps, Telecommunications",4.0,Early Stage Venture,2022-04-07,40000000.0,USD,40000000.0,Series B,Series B,40000000.0,USD,40000000.0,56120000.0,USD,56120000.0,1.0,151.526,"439,261.33",661.0,,,,"Garage Capital, Tiger Global Management, Y Combinator, Slow Ventures, Craft Ventures"
HubSpot,"Cambridge, Massachusetts, United States",Active,For Profit,14.0,1.0,1.0,5.0,3.0,12.0,"Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Software","Analytics, Marketing, SaaS, Social Media",6.0,IPO,2012-11-05,35000000.0,USD,35000000.0,Series E,Series E,35000000.0,USD,35000000.0,100500000.0,USD,100500000.0,38.0,"58,803,954","46,101,632.83",1.182,,,,"Sequoia Capital, General Catalyst, GV, Matrix Partners, Scale Venture Partners"
IntelyCare,"Quincy, Massachusetts, United States",Active,For Profit,,,,,3.0,11.0,"Administrative Services, Health Care, Software","Health Care, Medical, Software, Staffing Agency",3.0,Late Stage Venture,2022-04-06,115000000.0,USD,115000000.0,Series C,Series C,115000000.0,USD,115000000.0,170800000.0,USD,170800000.0,,391.858,"95,249.33",268.0,,,,"Janus Henderson Investors, Longitude Capital, LRVHealth, Kaiser Permanente Ventures, Endeavour Vision"
Lunar,"Aarhus, Midtjylland, Denmark",Active,For Profit,,,,,3.0,14.0,"Financial Services, Lending and Investments, Payments","Banking, Credit Cards, Debit Cards, Financial Services, FinTech",9.0,Late Stage Venture,2022-03-10,70000000.0,EUR,77093529.0,Series D,Series D,70000000.0,EUR,77093529.0,448352296.0,USD,448352296.0,,290.19,"120,558.83",447.0,,,,"Tencent, IDC Ventures, Greyhound Capital, Seed Capital, David Helgason"
Northern Arc,"Chennai, Tamil Nadu, India",Active,For Profit,41.0,22.0,,2.0,11.0,13.0,"Financial Services, Other","Enterprise, Finance, Financial Services",13.0,,2021-09-29,1000000000.0,INR,13454865.0,Debt Financing,Corporate Round,,,,447083209.0,USD,447083209.0,,5.362,"2,888.67",123.0,,,,"LeapFrog Investments, Standard Chartered Bank, Kotak Mahindra Bank, Eight Roads Ventures, Affirma Capital"
